
🐳动画(ljk播放器),#genre#
// http://epg.112114.xyz/douyu/
// http://zzy789.xyz/douyu1.php?id=
// http://124.223.212.38:83/douyu/
// http://diyp.112114.xyz/douyu/

✨✨✨动画！✨✨✨,http://epg.112114.xyz/douyu/7528160
👶影视,#genre#
【神剧】经典神剧,http://epg.112114.xyz/douyu/3700024
【贝爷MAX厅】科幻动作经典喜剧,http://epg.112114.xyz/douyu/4332
【女神金】60帧极致蓝光刀刀陪看,http://epg.112114.xyz/douyu/747764
【西游】由爱故生怨，怨恨交缠，那又何苦,http://epg.112114.xyz/douyu/9518204
好莱坞,http://liuy.usa7.20212021.ga/ns.php?id=54
好萊坞电影,http://220.134.196.147:9554/http/116.50.42.18:8081/hls/74/816/ch55.m3u8
龙华电影,http://220.134.196.147:9558/http/116.50.42.18:8066/hls/210/10014/cstv14.m3u8


👶少儿频道,#genre#
动漫秀场[1920*1080],http://140.207.241.2:8080/live/program/live/dmxchd/4000000/mnf.m3u8


🗼港澳台,#genre#
凤凰资讯,http://stream.guihet.com/t/ifeng2.php?id=1?zgangd
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv1.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8?zgangd
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv2.m3u8?zgangd
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8?zgangd
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8?zgangd
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8?zgangd
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8?zgangd
凤凰资讯,http://111.59.189.40:8445/tsfile/live/1021_1.m3u8?zgangd
凤凰资讯,http://liuy.usa7.20212021.ga/ns.php?id=99
鳯凰衛視資訊,http://220.134.196.147:9576/http/59.120.8.187:8078/hls/20/80/phoenixif.m3u8
鳯凰衛視中文,http://220.134.196.147:9577/http/59.120.8.187:8078/hls/21/80/phoenixch.m3u8



🎡台湾,#genre#
中天新闻,http://220.134.196.147:9537/http/116.50.42.18:8081/hls/78/80/ch63max.m3u8
中天新闻,http://60.251.59.180:8504/http/60.251.39.91:8081/hls/73/815/ch49.m3u8
中天新闻,http://iptv12k.com:35461/live/test167/12345/1276.m3u8
中天新闻,http://liuy.usa7.20212021.ga/ns.php?id=42
TVBS新闻,http://liuy.usa7.20212021.ga/ns.php?id=38
中视新闻,http://liuy.usa7.20212021.ga/ns.php?id=19
东森新闻,http://liuy.usa7.20212021.ga/ns.php?id=33
壹新闻,http://liuy.usa7.20212021.ga/ns.php?id=34



年代新闻,http://220.134.196.147:9501/http/116.50.42.18:8081/hls/67/809/ch27.m3u8
东森新闻,http://220.134.196.147:9540/http/116.50.42.18:8081/hls/63/805/ch10.m3u8
民视新闻,http://220.134.196.147:9573/http/116.50.42.18:8081/hls/73/815/ch51.m3u8
三立新闻,http://220.134.196.147:9543/http/116.50.42.18:8081/hls/65/807/ch18.m3u8
非凡新闻,http://220.134.196.147:9506/http/116.50.42.18:8081/hls/75/817/ch57.m3u8
寰宇新闻,http://220.134.196.147:9509/http/116.50.42.18:8081/hls/76/818/ch62.m3u8
壹新闻,http://220.134.196.147:9570/http/116.50.42.18:8081/hls/66/808/ch24.m3u8
三立台湾,http://220.134.196.147:9531/http/116.50.42.18:8081/hls/65/807/ch20.m3u8
台视,http://220.134.196.147:9572/http/116.50.42.18:8081/hls/72/814/ch46.m3u8
中视,http://220.134.196.147:9573/http/116.50.42.18:8081/hls/72/814/ch47.m3u8
华视,http://220.134.196.147:9513/http/116.50.42.18:8081/hls/72/814/ch48.m3u8
民视,http://220.134.196.147:9574/http/116.50.42.18:8081/hls/73/815/ch49.m3u8
公视,http://220.134.196.147:9515/http/116.50.42.18:8081/hls/73/815/ch50.m3u8
纬来综合,http://220.134.196.147:9553/http/116.50.42.18:8081/hls/68/810/ch32.m3u8




八大第1,http://220.134.196.147:9536/http/116.50.42.18:8081/hls/66/808/ch22.m3u8
八大綜合,http://220.134.196.147:9530/http/116.50.42.18:8081/hls/66/808/ch21.m3u8
八大戏劇,http://220.134.196.147:9542/http/116.50.42.18:8081/hls/66/808/ch23.m3u8

东森综合,http://220.134.196.147:9534/http/116.50.42.18:8081/hls/63/805/ch12.m3u8
超视ᴴᴰ,http://220.134.196.147:9535/http/116.50.42.18:8081/hls/64/806/ch14.m3u8
中天综合,http://220.134.196.147:9536/http/116.50.42.18:8081/hls/67/809/ch25.m3u8
中天娱乐,http://220.134.196.147:9541/http/116.50.42.18:8081/hls/67/809/ch26.m3u8





动物星球,http://220.134.196.147:9522/http/116.50.42.18:8081/hls/70/812/ch37.m3u8
国家地理ᴴᴰ,http://220.134.196.147:9519/http/116.50.42.18:8081/hls/61/803/ch01.m3u8

搜索发现,http://220.134.196.147:9568/http/116.50.42.18:8081/hls/76/818/ch61.m3u8
纬来育乐,http://220.134.196.147:9569/http/59.120.8.187:8081/hls/68/810/ch30.m3u8
纬来体育,http://220.134.196.147:9563/http/59.120.8.187:8081/hls/67/809/ch28.m3u8
博斯运动1,http://220.134.196.147:9564/http/59.120.8.187:8066/hls/210/10018/cstv18.m3u8


寰宇新闻,http://60.251.59.180:8547/http/60.251.39.91:8081/hls/76/818/ch62.m3u8
壹电视新闻,http://60.251.59.180:8501/http/60.251.39.91:8081/hls/66/808/ch24.m3u8
三立新闻,http://60.251.59.180:8506/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
东森新闻,http://60.251.59.180:8503/http/60.251.39.91:8081/hls/72/814/ch48.m3u8
华视资源新闻,http://60.251.59.180:8516/http/60.251.39.91:8081/hls/61/803/ch03.m3u8
年代新闻,http://60.251.59.180:8502/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
东森财经新闻,http://60.251.59.180:8514/http/60.251.39.91:8081/hls/63/805/ch11.m3u8
东森财经新闻,http://60.251.59.180:8514/http/60.251.39.91:8081/hls/68/810/ch29.m3u8
三立台湾,http://60.251.59.180:8531/http/60.251.39.91:8081/hls/65/807/ch20.m3u8

三立都会,http://60.251.59.180:8545/http/60.251.39.91:8081/hls/65/807/ch19.m3u8
卫视中文,http://60.251.59.180:8530/http/60.251.39.91:8081/hls/62/804/ch05.m3u8
卫视电影台,http://60.251.59.180:8523/http/60.251.39.91:8081/hls/62/804/ch07.m3u8
龙华偶像,http://60.251.59.180:8536/http/60.251.39.91:8066/hls/210/10012/cstv12.m3u8
龙华卡通,http://60.251.59.180:8517/http/60.251.39.91:8066/hls/210/10013/cstv13.m3u8
动物星球,http://60.251.59.180:8512/http/60.251.39.91:8081/hls/70/812/ch37.m3u8
纬来综合,http://60.251.59.180:8529/http/60.251.39.91:8081/hls/68/810/ch32.m3u8
